Top rotor RPM,Bottom rotor RPM,x/Diameter,z/Diameter,Top rotor thrust (N),Bottom rotor thrust (N),Top rotor torque (Nm),Bottom rotor torque (Nm),Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9
17040.0,17040.0,0.275,1.5,2.0292,0.15828,0.023723,0.0011896,74.11755436363636,73.93926109090908,74.06122809090908,76.54654772727272,76.19811781818181,76.47163645454545,78.80660163636365,74.11755436363636,74.11755436363636
17040.0,12780.0,0.275,1.5,2.4563,0.14534,0.031152,0.001024,70.97209981818182,70.9574429090909,71.32486445454546,73.819275,72.72539054545456,73.38981827272727,75.75205618181818,70.97209981818182,70.97209981818182
12780.0,17040.0,0.275,1.5,0.45429,0.090101,0.0088889,0.00061279,69.37209981818182,70.11198836363636,69.4794099090909,71.65563863636365,72.42539054545455,71.05345463636364,74.20660163636363,69.37209981818182,69.37209981818182
12780.0,12780.0,0.55,1.5,1.4138,0.12518,0.014768,0.00086127,64.643918,65.27835200000001,64.160319,66.369275,66.459936,65.097091,69.01023799999999,64.643918,64.643918
17040.0,17040.0,0.55,1.5,2.4926,0.15645,0.03112,0.0011597,73.57209981818183,72.81198836363636,74.07940990909091,77.19200227272728,76.45266327272726,77.69890918181818,77.55205618181819,73.57209981818183,73.57209981818183
17040.0,12780.0,0.55,1.5,3.0191,0.10958,0.02953,0.00068456,70.673918,69.888352,71.060319,74.029275,72.75993600000001,74.33709100000002,74.980238,70.673918,70.673918
12780.0,17040.0,0.55,1.5,0.98316,0.12922,0.01669,0.0010112,67.633918,68.218352,66.78031899999999,69.799275,70.399936,69.327091,71.890238,67.633918,67.633918
12780.0,12780.0,0.825,1.5,1.6181,0.09738,0.017083,0.00077194,63.293918000000005,63.728351999999994,63.220318999999996,64.75927499999999,65.579936,63.57709100000001,66.120238,63.293918000000005,63.293918000000005
17040.0,17040.0,0.825,1.5,3.2162,0.11872,0.034276,0.00086368,71.16300890909089,70.96653381818182,70.33395536363636,72.88291136363637,72.89811781818183,72.67163645454546,73.92478345454548,71.16300890909089,71.16300890909089
17040.0,12780.0,0.825,1.5,3.3806,0.10925,0.033601,0.00088931,68.793918,69.388352,69.470319,70.839275,71.159936,71.25709099999999,72.85023799999999,68.793918,68.793918
12780.0,17040.0,0.825,1.5,1.4212,0.084975,0.017673,0.00063936,66.703918,66.14835200000002,64.82031900000001,67.939275,68.27993599999999,67.647091,67.870238,66.703918,66.703918
12780.0,12780.0,1.1,1.5,2.0898,0.049081,0.016975,0.00038435,60.773917999999995,62.058352,61.540319,62.339275,63.71993599999998,61.687090999999995,63.380238,60.773917999999995,60.773917999999995
17040.0,17040.0,1.1,1.5,3.6589,0.056743,0.030609,0.00050223,69.76300890909091,68.57562472727273,68.17031900000002,69.1101840909091,70.67993600000001,71.04436372727272,69.91569254545453,69.76300890909091,69.76300890909091
17040.0,12780.0,1.1,1.5,3.499,0.040035,0.029821,0.00016972,66.76391799999999,67.978352,67.140319,68.109275,69.84993600000001,69.157091,69.600238,66.76391799999999,66.76391799999999
12780.0,0.0,1.1,1.5,2.043,0.056788,0.019767,0.00045457,53.793918,53.688351999999995,55.670319000000006,57.08927500000001,55.60993599999999,55.66709099999999,55.680237999999996,53.793918,53.793918
17040.0,0.0,1.1,1.5,3.7575,0.1074,0.035017,0.00067896,60.153918,63.248352000000004,61.0612280909091,64.26472954545453,65.39811781818183,62.98072736363636,61.90660163636364,60.153918,60.153918
0.0,12780.0,1.1,1.5,0.21732,0.00088805,0.0068962,3.314,55.393918,57.33835200000001,55.17031899999999,55.75927499999999,57.509936,56.427091,57.640238,55.393918,55.393918
0.0,17040.0,1.1,1.5,0.36685,0.047957,0.011864,0.00027984,64.79028163636363,62.40289745454547,60.41577354545455,63.79200227272727,64.26175418181819,63.817091,60.961147090909094,64.79028163636363,64.79028163636363
12780.0,17040.0,1.1,1.5,1.8006,0.014636,0.016167,0.00012884,65.6720998181818,64.28471563636364,62.688500818181815,65.72836590909093,66.30720872727274,65.34436372727272,64.54296527272727,65.6720998181818,65.6720998181818
12780.0,12780.0,0.0,0.25,3.0935,0.072448,0.013144,0.00058108,60.023917999999995,60.428352,60.880319,62.16927499999999,62.16993599999999,63.507091,64.730238,60.023917999999995,60.023917999999995
17040.0,17040.0,0.0,0.25,3.6842,0.14006,0.014983,0.00094111,65.43391799999999,66.348352,66.040319,67.849275,69.709936,69.81709099999999,71.22023800000001,65.43391799999999,65.43391799999999
